site,label,label 2,label 3
SilverBearCafe.com,conspiracy,,
SilverDoctors.com,conspiracy,bias,
SilverStealers.net,conspiracy,,
skeptiko.com,conspiracy,junksci,
sonsoflibertyradio.com,conspiracy,bias, unreliable
thedailysheeple.com,conspiracy,bias,
theeconomiccollapseblog.com,conspiracy,bias,
theeventchronicle.com,conspiracy,junksci,clickbait
TheExtinctionProtocol.com,conspiracy,,
theforbiddenknowledge.com,conspiracy,junksci,
thelibertybeacon.com,conspiracy,junksci,bias
themindunleashed.com,conspiracy,junksci,clickbait
themindunleashed.org,conspiracy,junksci,clickbait
thephaser.com,conspiracy,,
thepoliticalinsider.com,conspiracy,bias,unreliable
truthbroadcastnetwork.com,conspiracy,clickbait,
truthfrequencyradio.com,conspiracy, ,
ufoholic.com,conspiracy,,
wakeupthesheep.com,conspiracy,,
wakingupwisconsin.com,conspiracy, ,
weshapelife.org,conspiracy,junksci,
whatdoesitmean.com,conspiracy,,
whatreallyhappened.com,conspiracy,rumor,
whowhatwhy.org,conspiracy,,
wikispooks.com,conspiracy,,
Willyloman.wordpress.com,conspiracy,,
worldtruth.tv,conspiracy,junksci,
X22Report.com,conspiracy,,
zerohedge.com,conspiracy,,
zootfeed.com,conspiracy,,
16wmpo.com,fake,,
24newsflash.com,fake,,
24wpn.com,fake, ,
70news.wordpress.com,fake,,
abcnews.com.co,fake,,
abcnewsgo.co,fake,,
alternativemediasyndicate.com,fake,,
americannews.com,fake,,
americanoverlook.com,fake,,
americanpoliticnews.co,fake,,
americanpresident.co,fake,,
Amposts.com,fake,,
anews24.org/,fake,,
anonjekloy.tk,fake,,
aurora-news.us,fake,,
beforeitsnews.com,fake,conspiracy,rumor
bighairynews.com,fake,conspiracy,
blackinusrancenews.com,fake,unreliable,
bostonleader.com,fake,,
buzzfeedusa.com,fake,rumor,
cannasos.com,fake,unreliable,
cap-news.com,fake, ,
cbsnews.com.co,fake,,
channel-7-news.com,fake,,
channel18news.com,fake,,
cityworldnews.com,fake,,
civictribune.com,fake,,
clashdaily.com,fake,conspiracy,bias
cnnews3.com,fake,,
coed.com,fake,unreliable,
conservativebyte.com,fake,bias,
conservativedailypost.com,fake,unreliable,
conservativefighters.com,fake,,
conservativeflashnews.com,fake,,
conservativeinfidel.com,fake,conspiracy,
dailybuzzlive.com,fake,,
dailyheadlines.com,fake, ,
dailyheadlines.net,fake, ,
dailyinfobox.com,fake,,
dailynews10.com,fake,,
dailynews5.com,fake,,
dailynewsposts.info,fake,,
dailysurge.com,fake,,
dailyusaupdate.com,fake,,
damnleaks.com,fake,,
dcgazette.com,fake,,
ddemocraticunderground.com,fake,,
denverguardian.com,fake,,
departed.co,fake,,
departedmedia.com,fake,,
DIYhours.net,fake,,
donaldtrumpnews.co,fake,,
DonaldTrumpPotus45.com,fake,,
downtrend.com,fake,satire,
drudgereport.com.co,fake,,
embols.com,fake,,
Empirehearland.com,fake,,
empireherald.com,fake,satire,
empirenews.net,fake,satire,
empirenews.net,fake,,
en-vovle.com,fake,,
enabon.com,fake,,
enduringvision.com,fake,,
enhlive.com,fake,,
eutopia.buzz,fake,satire,conspiracy
fakingnews.com,fake,satire,
fedsalert.com,fake,,
flashnewscorner.com,fake,,
floridasunpost.com,fake,satirical,
freedomdaily.com,fake,,
freshdailyreport.com,fake,,
givemeliberity01.com,fake,,
globalpoliticsnow.com,fake,,
goneleft.com,fake,,
gopthedailydose.com,fake,conspiracy,bias
gummypost.com,fake,,
healthycareandbeauty.com,fake,unreliable,
healthyworldhouse.com,fake,,
immediatesafety.org,fake,,
infostormer.com,fake,hate,conspiracy
interestingdailynews.com,fake,,
intrendtoday.com,fake,clickbait,
itaglive.com,fake,,
ItMakesSenseBlog.com,fake,,
iwanttoexplore.com,fake,,
KMT11.com,fake,,
konkonsagh.biz,fake,,
krbcnews.com,fake,,
ky12news.com,fake,,
ladylibertynews.com,fake,,
lastdeplorables.com,fake,,
learnprogress.org,fake,bias,
liberalplug.com,fake,,
libertyalliance.com,fake,,
libertyblitzkrieg.com,fake,,
local31news.com,fake,,
madworldnews.com,fake,,
maganews.co,fake,,
majorthoughts.com,fake,,
mediamass.net,fake,,
megynkelly.us,fake,,
mentor2day.com,fake,,
metropolitanworlds.com,fake,,
mpidailymagazine.com,fake,bias,
mrconservative.com,fake,satire,
